Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Annotation of Margin of Error!!Total:,Annotation of Estimate!!Total:,Estimate!!Total:!!With an Internet subscription,Margin of Error!!Total:!!With an Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription,Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Estimate!!Total:!!With an Internet subscription!!Broadband of any type,Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband of any type,Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type,Estimate!!Total:!!With an Internet subscription!!Cellular data plan,Annotation of Estimate!!Total:!!With an Internet subscription!!Cellular data plan,Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan,Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Annotation of Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Annotation of Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate!!Total:!!With an Internet subscription!!Satellite Internet service,Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service,Annotation of Estimate!!Total:!!With an Internet subscription!!Satellite Internet service,Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription,Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Annotation of Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Annotation of Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription,Estimate!!Total:!!Internet access without a subscription,Annotation of Estimate!!Total:!!Internet access without a subscription,Margin of Error!!Total:!!Internet access without a subscription,Annotation of Margin of Error!!Total:!!Internet access without a subscription,Estimate!!Total:!!No Internet access,Annotation of Estimate!!Total:!!No Internet access,Margin of Error!!Total:!!No Internet access,Annotation of Margin of Error!!Total:!!No Internet access
0500000US37085,"Harnett County, North Carolina",46525,570,null,null,37766,785,null,null,85,53,null,null,37681,null,788,null,29075,null,840,null,4439,441,null,null,31633,880,null,null,8063,518,null,null,2941,356,null,null,269,103,null,null,49,null,47,null,2128,null,360,null,6631,null,499,null
0500000US37087,"Haywood County, North Carolina",26891,563,null,null,19784,796,null,null,67,41,null,null,19717,null,795,null,16504,null,761,null,3700,534,null,null,14343,793,null,null,2759,332,null,null,2139,345,null,null,345,119,null,null,21,null,22,null,1118,null,295,null,5989,null,703,null
0500000US37089,"Henderson County, North Carolina",49715,645,null,null,42300,767,null,null,120,81,null,null,42180,null,767,null,36692,null,808,null,5784,609,null,null,34108,850,null,null,4659,443,null,null,4989,536,null,null,382,152,null,null,85,null,59,null,993,null,230,null,6422,null,533,null
0500000US37091,"Hertford County, North Carolina",8903,275,null,null,6294,318,null,null,6,8,null,null,6288,null,318,null,4965,null,328,null,971,194,null,null,4775,339,null,null,1133,199,null,null,914,191,null,null,72,49,null,null,1,null,2,null,246,null,83,null,2363,null,282,null
0500000US37093,"Hoke County, North Carolina",18448,341,null,null,15397,401,null,null,54,51,null,null,15343,null,410,null,13081,null,460,null,1654,323,null,null,13075,441,null,null,1972,276,null,null,1399,284,null,null,176,90,null,null,18,null,30,null,427,null,129,null,2624,null,308,null
0500000US37095,"Hyde County, North Carolina",2056,178,null,null,1392,223,null,null,45,47,null,null,1347,null,224,null,1232,null,232,null,396,170,null,null,801,189,null,null,99,74,null,null,238,122,null,null,16,25,null,null,0,null,19,null,69,null,74,null,595,null,187,null
0500000US37097,"Iredell County, North Carolina",68374,590,null,null,59767,770,null,null,182,71,null,null,59585,null,778,null,48393,null,912,null,7478,664,null,null,49085,954,null,null,9539,735,null,null,5239,455,null,null,1173,223,null,null,64,null,54,null,1526,null,249,null,7081,null,515,null
0500000US37099,"Jackson County, North Carolina",17008,745,null,null,12536,669,null,null,172,106,null,null,12364,null,656,null,10882,null,620,null,2289,340,null,null,8779,671,null,null,1078,264,null,null,1731,325,null,null,222,88,null,null,73,null,59,null,988,null,244,null,3484,null,512,null
0500000US37101,"Johnston County, North Carolina",71332,722,null,null,57690,1069,null,null,256,124,null,null,57434,null,1072,null,51754,null,1153,null,7726,756,null,null,47300,1214,null,null,4910,585,null,null,4096,599,null,null,404,158,null,null,20,null,23,null,2115,null,426,null,11527,null,938,null
0500000US37103,"Jones County, North Carolina",4069,165,null,null,2711,203,null,null,82,57,null,null,2629,null,213,null,2283,null,208,null,445,100,null,null,1940,211,null,null,238,88,null,null,502,130,null,null,29,25,null,null,0,null,19,null,60,null,50,null,1298,null,192,null
0500000US37105,"Lee County, North Carolina",22290,392,null,null,16747,579,null,null,49,31,null,null,16698,null,582,null,14780,null,596,null,1319,271,null,null,15036,537,null,null,1521,274,null,null,1369,275,null,null,79,64,null,null,18,null,18,null,2058,null,379,null,3485,null,490,null
0500000US37107,"Lenoir County, North Carolina",23494,565,null,null,18130,630,null,null,127,61,null,null,18003,null,633,null,16158,null,624,null,4275,434,null,null,12223,616,null,null,1473,261,null,null,2113,354,null,null,139,79,null,null,68,null,84,null,796,null,280,null,4568,null,460,null
0500000US37109,"Lincoln County, North Carolina",33621,439,null,null,28598,585,null,null,112,70,null,null,28486,null,576,null,25869,null,750,null,3526,543,null,null,23759,672,null,null,2218,398,null,null,2597,363,null,null,154,121,null,null,0,null,31,null,737,null,174,null,4286,null,507,null
0500000US37111,"McDowell County, North Carolina",18275,399,null,null,14077,598,null,null,52,49,null,null,14025,null,589,null,12046,null,586,null,2774,418,null,null,9538,575,null,null,1397,233,null,null,1967,319,null,null,405,171,null,null,0,null,28,null,845,null,300,null,3353,null,473,null
0500000US37113,"Macon County, North Carolina",16062,494,null,null,12252,607,null,null,157,64,null,null,12095,null,604,null,9730,null,593,null,1494,252,null,null,9086,628,null,null,1805,326,null,null,1829,336,null,null,355,114,null,null,13,null,25,null,298,null,119,null,3512,null,472,null
0500000US37115,"Madison County, North Carolina",8373,278,null,null,6112,344,null,null,52,44,null,null,6060,null,343,null,4929,null,357,null,1058,226,null,null,4086,343,null,null,848,209,null,null,950,169,null,null,211,86,null,null,14,null,21,null,237,null,100,null,2024,null,262,null
0500000US37117,"Martin County, North Carolina",9622,329,null,null,6965,386,null,null,31,30,null,null,6934,null,381,null,6160,null,390,null,1429,266,null,null,4894,421,null,null,662,165,null,null,825,182,null,null,53,35,null,null,0,null,25,null,242,null,122,null,2415,null,332,null
0500000US37119,"Mecklenburg County, North Carolina",421950,1719,null,null,380746,2266,null,null,427,112,null,null,380319,null,2268,null,327709,null,2654,null,36919,1653,null,null,333182,2702,null,null,47347,2225,null,null,21668,1102,null,null,1405,301,null,null,2296,null,488,null,6898,null,716,null,34306,null,1637,null
0500000US37121,"Mitchell County, North Carolina",6402,311,null,null,4908,291,null,null,37,42,null,null,4871,null,288,null,3946,null,304,null,837,207,null,null,3908,264,null,null,858,188,null,null,236,87,null,null,38,31,null,null,0,null,21,null,116,null,54,null,1378,null,193,null
0500000US37123,"Montgomery County, North Carolina",10265,472,null,null,7378,446,null,null,82,54,null,null,7296,null,448,null,5280,null,416,null,1362,253,null,null,4559,378,null,null,1356,267,null,null,1507,360,null,null,524,224,null,null,30,null,36,null,321,null,139,null,2566,null,319,null
0500000US37125,"Moore County, North Carolina",40575,749,null,null,34443,886,null,null,179,68,null,null,34264,null,897,null,29676,null,989,null,3474,488,null,null,29068,783,null,null,3745,465,null,null,3831,560,null,null,435,164,null,null,0,null,31,null,752,null,176,null,5380,null,539,null
0500000US37127,"Nash County, North Carolina",37371,621,null,null,29897,771,null,null,211,97,null,null,29686,null,785,null,26381,null,872,null,4975,625,null,null,23698,820,null,null,3005,399,null,null,2205,397,null,null,147,75,null,null,28,null,42,null,475,null,211,null,6999,null,624,null
0500000US37129,"New Hanover County, North Carolina",97998,957,null,null,85940,1244,null,null,173,89,null,null,85767,null,1249,null,73352,null,1332,null,8419,1118,null,null,75876,1615,null,null,11835,988,null,null,3690,436,null,null,160,74,null,null,66,null,51,null,3220,null,548,null,8838,null,920,null
0500000US37131,"Northampton County, North Carolina",8424,300,null,null,4617,370,null,null,16,22,null,null,4601,null,368,null,3516,null,343,null,1081,274,null,null,3006,297,null,null,831,196,null,null,626,120,null,null,214,84,null,null,0,null,21,null,606,null,195,null,3201,null,369,null
0500000US37133,"Onslow County, North Carolina",66131,1220,null,null,59439,1378,null,null,106,67,null,null,59333,null,1375,null,49437,null,1560,null,6273,703,null,null,51222,1502,null,null,9097,1007,null,null,4032,495,null,null,309,145,null,null,38,null,47,null,1611,null,637,null,5081,null,675,null
0500000US37135,"Orange County, North Carolina",53222,741,null,null,47800,880,null,null,184,110,null,null,47616,null,867,null,44012,null,923,null,4770,534,null,null,41580,939,null,null,3253,361,null,null,2675,389,null,null,100,53,null,null,28,null,30,null,2077,null,317,null,3345,null,456,null
0500000US37137,"Pamlico County, North Carolina",5506,227,null,null,4344,249,null,null,47,22,null,null,4297,null,249,null,3265,null,242,null,494,97,null,null,3500,260,null,null,861,184,null,null,458,102,null,null,110,64,null,null,0,null,21,null,57,null,43,null,1105,null,175,null
0500000US37139,"Pasquotank County, North Carolina",14785,412,null,null,12099,485,null,null,5,11,null,null,12094,null,487,null,10373,null,465,null,1705,301,null,null,9964,527,null,null,1621,370,null,null,892,190,null,null,29,31,null,null,0,null,28,null,463,null,157,null,2223,null,272,null
0500000US37141,"Pender County, North Carolina",22812,485,null,null,18804,565,null,null,81,45,null,null,18723,null,558,null,16226,null,585,null,2377,300,null,null,14740,538,null,null,2070,376,null,null,2157,236,null,null,314,112,null,null,0,null,31,null,546,null,239,null,3462,null,384,null
0500000US37143,"Perquimans County, North Carolina",5886,268,null,null,4646,291,null,null,64,42,null,null,4582,null,286,null,3963,null,315,null,948,221,null,null,3051,283,null,null,439,164,null,null,650,189,null,null,55,47,null,null,26,null,25,null,197,null,92,null,1043,null,242,null
0500000US37145,"Person County, North Carolina",16153,434,null,null,13103,541,null,null,87,60,null,null,13016,null,535,null,10961,null,577,null,1442,309,null,null,10381,543,null,null,1533,286,null,null,1596,372,null,null,272,132,null,null,144,null,130,null,247,null,134,null,2803,null,442,null
0500000US37147,"Pitt County, North Carolina",70683,947,null,null,59332,1118,null,null,88,58,null,null,59244,null,1113,null,54285,null,1110,null,14100,1182,null,null,42894,1400,null,null,4094,479,null,null,3482,459,null,null,240,110,null,null,201,null,218,null,2682,null,516,null,8669,null,810,null
0500000US37149,"Polk County, North Carolina",9252,289,null,null,7358,331,null,null,47,37,null,null,7311,null,333,null,6086,null,331,null,1113,253,null,null,5545,325,null,null,922,181,null,null,1093,254,null,null,115,61,null,null,0,null,25,null,437,null,128,null,1457,null,202,null
0500000US37151,"Randolph County, North Carolina",56790,603,null,null,45967,926,null,null,237,107,null,null,45730,null,919,null,40806,null,1059,null,6157,753,null,null,37745,1063,null,null,4626,572,null,null,2781,431,null,null,150,77,null,null,12,null,19,null,1186,null,291,null,9637,null,717,null
0500000US37153,"Richmond County, North Carolina",18201,522,null,null,14006,579,null,null,40,33,null,null,13966,null,590,null,11864,null,582,null,2594,337,null,null,10498,638,null,null,1891,323,null,null,1554,315,null,null,140,83,null,null,0,null,28,null,172,null,71,null,4023,null,373,null
0500000US37155,"Robeson County, North Carolina",45881,424,null,null,28957,647,null,null,71,43,null,null,28886,null,650,null,20786,null,683,null,5934,431,null,null,20460,606,null,null,6635,390,null,null,3234,332,null,null,865,196,null,null,168,null,63,null,1131,null,185,null,15793,null,694,null
0500000US37157,"Rockingham County, North Carolina",38532,555,null,null,27919,857,null,null,108,65,null,null,27811,null,859,null,22885,null,858,null,4089,513,null,null,22409,848,null,null,4283,485,null,null,1962,331,null,null,288,121,null,null,49,null,50,null,1598,null,357,null,9015,null,640,null
0500000US37159,"Rowan County, North Carolina",54137,744,null,null,45248,781,null,null,112,56,null,null,45136,null,771,null,39060,null,876,null,6143,713,null,null,37335,862,null,null,5409,642,null,null,2895,395,null,null,198,79,null,null,70,null,61,null,1096,null,267,null,7793,null,709,null
0500000US37161,"Rutherford County, North Carolina",27525,578,null,null,20584,769,null,null,53,54,null,null,20531,null,766,null,17853,null,804,null,4472,513,null,null,13177,880,null,null,2127,393,null,null,3536,542,null,null,292,107,null,null,38,null,41,null,977,null,241,null,5964,null,633,null
0500000US37163,"Sampson County, North Carolina",23162,603,null,null,16842,632,null,null,93,88,null,null,16749,null,647,null,14335,null,682,null,3120,409,null,null,12364,582,null,null,1982,283,null,null,2372,414,null,null,244,142,null,null,22,null,25,null,479,null,133,null,5841,null,464,null
0500000US37165,"Scotland County, North Carolina",12951,224,null,null,8824,316,null,null,65,38,null,null,8759,null,317,null,6795,null,306,null,1750,244,null,null,6453,374,null,null,1700,194,null,null,684,132,null,null,176,76,null,null,8,null,11,null,214,null,77,null,3913,null,278,null
0500000US37167,"Stanly County, North Carolina",23849,466,null,null,19741,622,null,null,100,58,null,null,19641,null,616,null,16952,null,618,null,3324,412,null,null,15232,677,null,null,2177,266,null,null,1776,284,null,null,377,145,null,null,5,null,9,null,672,null,237,null,3436,null,433,null
0500000US37169,"Stokes County, North Carolina",19608,353,null,null,14607,597,null,null,132,86,null,null,14475,null,609,null,11426,null,636,null,2247,352,null,null,11081,601,null,null,2504,442,null,null,1547,347,null,null,324,125,null,null,57,null,85,null,880,null,286,null,4121,null,517,null
0500000US37171,"Surry County, North Carolina",29001,478,null,null,20117,620,null,null,187,91,null,null,19930,null,625,null,16145,null,603,null,2409,327,null,null,16745,591,null,null,3222,357,null,null,1568,329,null,null,326,112,null,null,34,null,41,null,3265,null,442,null,5619,null,422,null
0500000US37173,"Swain County, North Carolina",5741,280,null,null,3830,348,null,null,9,18,null,null,3821,null,350,null,3324,null,340,null,568,146,null,null,3007,319,null,null,429,143,null,null,372,120,null,null,54,34,null,null,14,null,20,null,252,null,94,null,1659,null,265,null
0500000US37175,"Transylvania County, North Carolina",14648,478,null,null,12321,553,null,null,36,43,null,null,12285,null,556,null,10509,null,518,null,1181,247,null,null,10511,553,null,null,1555,358,null,null,760,163,null,null,79,66,null,null,12,null,20,null,336,null,206,null,1991,null,318,null
0500000US37177,"Tyrrell County, North Carolina",1652,199,null,null,1094,163,null,null,0,13,null,null,1094,null,163,null,895,null,163,null,124,59,null,null,781,182,null,null,141,73,null,null,175,90,null,null,58,74,null,null,0,null,13,null,14,null,26,null,544,null,148,null
0500000US37179,"Union County, North Carolina",77791,574,null,null,71520,747,null,null,203,92,null,null,71317,null,735,null,65274,null,877,null,7515,668,null,null,61576,1040,null,null,5250,494,null,null,5180,502,null,null,280,93,null,null,55,null,48,null,822,null,202,null,5449,null,557,null
0500000US37181,"Vance County, North Carolina",16895,425,null,null,12699,494,null,null,119,74,null,null,12580,null,488,null,10725,null,510,null,1820,302,null,null,10119,508,null,null,1459,300,null,null,1023,244,null,null,249,142,null,null,0,null,28,null,291,null,114,null,3905,null,512,null
0500000US37183,"Wake County, North Carolina",410552,1748,null,null,382959,2412,null,null,672,215,null,null,382287,null,2410,null,355267,null,2578,null,26961,1251,null,null,345261,2529,null,null,23521,1299,null,null,24453,1162,null,null,1212,298,null,null,453,null,191,null,7695,null,851,null,19898,null,1405,null
0500000US37185,"Warren County, North Carolina",8122,294,null,null,5318,318,null,null,35,24,null,null,5283,null,320,null,4493,null,298,null,771,160,null,null,3953,324,null,null,639,152,null,null,727,181,null,null,70,47,null,null,13,null,16,null,330,null,143,null,2474,null,272,null
0500000US37187,"Washington County, North Carolina",5237,277,null,null,3447,395,null,null,9,16,null,null,3438,null,398,null,3048,null,370,null,1034,296,null,null,2200,316,null,null,309,101,null,null,315,117,null,null,44,54,null,null,3,null,6,null,120,null,72,null,1670,null,330,null
0500000US37189,"Watauga County, North Carolina",21453,631,null,null,18150,590,null,null,41,30,null,null,18109,null,591,null,15864,null,600,null,1681,393,null,null,15788,594,null,null,2044,292,null,null,1179,255,null,null,125,66,null,null,23,null,20,null,740,null,229,null,2563,null,337,null
0500000US37191,"Wayne County, North Carolina",48198,666,null,null,40365,810,null,null,36,36,null,null,40329,null,812,null,35801,null,867,null,6659,505,null,null,31797,957,null,null,3995,438,null,null,3283,423,null,null,231,113,null,null,31,null,32,null,389,null,162,null,7444,null,630,null
0500000US37193,"Wilkes County, North Carolina",28902,590,null,null,23149,764,null,null,153,81,null,null,22996,null,755,null,15233,null,677,null,2497,346,null,null,19797,715,null,null,7323,653,null,null,1365,275,null,null,195,99,null,null,44,null,38,null,612,null,204,null,5141,null,537,null
0500000US37195,"Wilson County, North Carolina",31968,491,null,null,24479,661,null,null,60,49,null,null,24419,null,667,null,21196,null,816,null,3441,507,null,null,20449,729,null,null,2963,466,null,null,1071,192,null,null,132,68,null,null,6,null,6,null,1034,null,305,null,6455,null,535,null
0500000US37197,"Yadkin County, North Carolina",15247,297,null,null,11615,375,null,null,84,89,null,null,11531,null,370,null,9353,null,372,null,1694,253,null,null,9440,453,null,null,1976,339,null,null,656,135,null,null,83,48,null,null,0,null,28,null,666,null,188,null,2966,null,294,null
0500000US37199,"Yancey County, North Carolina",7466,326,null,null,5682,330,null,null,35,32,null,null,5647,null,327,null,4784,null,334,null,582,152,null,null,4759,318,null,null,705,195,null,null,386,114,null,null,114,55,null,null,6,null,7,null,162,null,65,null,1622,null,245,null
